
,,,,,,Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (),PDO (),,Zone Starts (EV),Zone Starts (EV),,,,,,,
Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
,,,,,,,,,,,,,,,,,,,,,,,,,
52,Jordie Benn\bennjo01,32,VAN,D,44,505,661,43.3,-8.4,393,486,44.7,-7.3,8.5,92.3,100.8,45.6,54.4,16:17,13:41,7,17,-8.3,115,50.4
53,Sam Bennett\bennesa01,23,CGY,C,52,571,569,50.1,-1.1,417,432,49.1,-1.3,6.2,94.3,100.5,47.9,52.1,12:31,11:21,19,22,1.9,150,54.7
54,Matt Benning\bennima01,25,EDM,D,43,430,465,48.0,0.2,325,334,49.3,1.2,10.0,93.2,103.3,47.4,52.6,13:14,12:21,12,19,-0.8,81,46.9
55,Tyler Benson\bensoty01,21,EDM,LW,7,60,66,47.6,-1.6,43,45,48.9,0.3,12.1,85.7,97.8,42.2,57.8,10:23,9:53,2,3,-0.8,13,38.5
56,Patrice Bergeron\bergepa01,34,BOS,C,61,874,686,56.0,6.8,650,521,55.5,5.8,12.5,90.7,103.2,60.3,39.7,18:44,13:17,44,22,8.1,326,62.3
57,Lean Bergmann\bergmle01,21,SJS,F,12,66,114,36.7,-16.3,48,87,35.6,-16.2,3.0,88.5,91.6,62.7,37.3,8:16,7:39,3,0,-3.6,17,64.7
58,Tyler Bertuzzi\bertuty01,24,DET,LW,71,1054,1075,49.5,5.1,802,836,49.0,4.4,8.7,89.6,98.3,51.6,48.4,19:19,15:51,25,57,-3.0,222,58.1
59,Alex Biega\biegaal01,31,DET,D,49,561,683,45.1,-0.7,436,534,44.9,-0.1,5.3,93.3,98.6,47.5,52.5,16:25,14:25,4,30,-8.0,123,44.7
60,Jake Bischoff\bischja01,25,VEG,D,4,49,59,45.4,0.5,39,40,49.4,4.5,10.0,84.4,94.4,47.8,52.2,15:36,14:53,0,2,0.0,10,60.0
61,Clark Bishop\bishocl01,23,CAR,C,5,27,25,51.9,0.3,21,17,55.3,3.8,7.7,76.5,84.2,62.5,37.5,7:39,7:23,1,1,-1.0,6,66.7
62,Anthony Bitetto\bitetan01,29,WPG,D,51,563,633,47.1,-3.2,427,473,47.4,-1.4,10.2,92.2,102.4,54.3,45.7,15:10,12:54,16,22,-4.3,105,51.4
63,Anders Bjork\bjorkan01,23,BOS,LW,58,583,599,49.3,-1.7,452,451,50.1,-0.6,7.6,93.4,100.9,54.5,45.5,12:56,12:04,21,14,4.3,134,49.3
64,Oliver Bjorkstrand\bjorkol01,24,CBJ,RW,49,776,647,54.5,5.1,595,468,56.0,5.0,9.1,91.9,101.0,55.8,44.2,17:56,15:17,32,27,11.7,277,58.5
65,Tobias Bjornfot\bjornto01,18,LAK,D,3,22,38,36.7,-19.6,15,29,34.1,-25.2,0.0,78.9,78.9,37.9,62.1,12:58,11:59,0,0,-1.3,0,
66,Nick Bjugstad\bjugsni01,27,PIT,C,13,128,125,50.6,-5.8,98,85,53.6,-3.4,6.9,93.7,100.6,46.6,53.4,12:14,10:35,3,5,0.2,39,46.2
