,,,,,,Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (),PDO (),,Zone Starts (EV),Zone Starts (EV),,,,,,,
Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
445,Ilya Kovalchuk\kovalil01,36,TOT,LW,46,648,554,53.9,1.2,495,402,55.2,2.7,8.7,89.0,97.7,51.7,48.3,16:58,14:25,11,25,5.6,186,61.8
446,Chris Kreider\kreidch01,28,NYR,LW,63,824,884,48.2,3.3,609,683,47.1,0.8,12.0,91.8,103.8,48.8,51.2,17:15,13:45,22,61,-1.5,258,60.5
447,David Krejci\krejcda01,33,BOS,C,61,879,870,50.3,0.1,668,665,50.1,-0.4,9.4,93.7,103.1,59.4,40.6,17:10,15:01,31,37,-0.8,163,50.9
448,Torey Krug\krugto01,28,BOS,D,61,1048,836,55.6,6.3,769,650,54.2,4.3,8.2,89.2,97.5,68.4,31.6,20:29,16:21,22,48,8.6,273,52.7
449,Dominik Kubalík\kubaldo01,24,CHI,LW,68,848,836,50.4,2.3,645,627,50.7,3.3,11.1,89.8,101.0,49.1,50.9,14:22,12:22,23,25,-1.8,270,58.1
450,Nikita Kucherov\kucheni01,26,TBL,RW,68,1134,887,56.1,6.0,860,682,55.8,6.6,12.1,92.1,104.2,59.8,40.2,18:52,14:55,30,59,9.8,386,54.4
451,Karson Kuhlman\kuhlmka01,24,BOS,C,25,294,243,54.7,3.1,229,181,55.9,4.4,3.5,97.7,101.2,60.0,40.0,12:32,11:46,2,5,2.0,75,60.0
452,Tom Kuhnhackl\kuhnhto01,28,NYI,RW,28,233,328,41.5,-5.6,170,227,42.8,-4.5,5.3,90.8,96.2,49.0,51.0,11:18,9:44,4,11,-4.2,46,60.9
453,Dean Kukan\kukande01,26,CBJ,D,33,425,414,50.7,1.9,328,303,52.0,0.6,5.4,90.1,95.5,60.5,39.5,15:58,14:40,7,14,1.1,90,56.7
454,Brett Kulak\kulakbr01,26,MTL,D,56,1003,768,56.6,1.8,743,586,55.9,1.6,7.1,90.6,97.7,50.8,49.2,17:08,16:47,13,36,10.2,189,53.4
455,Dmitry Kulikov\kulikdm01,29,WPG,D,51,898,865,50.9,1.3,669,670,50.0,1.6,7.2,91.7,99.0,54.4,45.6,20:01,18:31,16,55,-7.4,141,38.3
456,Luke Kunin\kuninlu01,22,MIN,C,63,732,883,45.3,-5.4,556,636,46.6,-4.1,8.8,89.3,98.1,43.5,56.5,15:28,13:15,9,15,-2.0,238,53.8
457,Janne Kuokkanen\kuokkja01,21,NJD,C/LW,1,4,8,33.3,-5.1,3,5,37.5,-10.5,0.0,80.0,80.0,33.3,66.7,12:04,11:51,0,1,0.2,0,
458,Sean Kuraly\kuralse01,27,BOS,C,69,645,779,45.3,-6.8,507,597,45.9,-6.2,8.4,91.6,100.0,31.2,68.8,13:17,11:31,28,27,-4.8,166,57.2
459,Evgeny Kuznetsov\kuzneev01,27,WSH,C,63,785,901,46.6,-7.1,598,714,45.6,-8.6,13.2,89.5,102.7,52.2,47.8,17:51,14:34,22,45,-7.8,187,69.0
460,Oliver Kylington\kylinol01,22,CGY,D,48,579,628,48.0,-3.9,431,473,47.7,-3.3,6.2,92.3,98.5,54.0,46.0,13:42,13:14,8,29,-0.3,96,38.5
