,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
849,Lucas Wallmark\wallmlu01,24,FLA,C,7,1,1,2,0,0,0.1,1,0,0,0,1,0,0,5,20.0,87,12:28,5,9,36,32,52.9
850,Jake Walman\walmaja01,23,STL,D,1,0,0,0,1,0,0.1,0,0,0,0,0,0,0,1,0.0,11,11:04,1,0,0,0,
851,Austin Watson\watsoau01,28,NSH,LW,53,6,8,14,-9,65,0.6,6,0,0,1,6,0,2,50,12.0,616,11:37,48,131,6,6,50.0
852,Jordan Weal\wealjo01,27,MTL,C,49,8,7,15,-8,14,1.0,6,2,0,2,4,3,0,86,9.3,667,13:37,21,32,96,97,49.7
853,Shea Weber\webersh01,34,MTL,D,65,15,21,36,8,33,7.3,12,3,0,2,16,5,0,185,8.1,1561,24:00,114,112,0,0,
854,Yannick Weber\weberya01,31,NSH,D,41,1,2,3,-1,14,0.6,1,0,0,1,2,0,0,45,2.2,574,14:01,38,37,0,0,
855,Anton Wedin\wedinan01,26,CHI,F,4,0,0,0,1,4,0.0,0,0,0,0,0,0,0,2,0.0,36,9:04,1,5,0,0,
856,MacKenzie Weegar\weegama01,26,FLA,D,45,7,11,18,6,33,3.4,7,0,0,1,11,0,0,77,9.1,905,20:07,71,76,0,0,
857,Dale Weise\weiseda01,31,MTL,RW,23,1,4,5,1,16,0.3,1,0,0,0,4,0,0,15,6.7,213,9:16,10,70,0,0,
858,Alexander Wennberg\wennbal01,25,CBJ,C,57,5,17,22,-5,16,1.2,4,1,0,1,13,4,0,72,6.9,951,16:41,31,21,309,364,45.9
859,Zach Werenski\werenza01,22,CBJ,D,63,20,21,41,9,10,9.1,14,5,1,4,13,8,0,187,10.7,1511,23:59,58,36,0,0,
860,Blake Wheeler\wheelbl01,33,WPG,RW,71,22,43,65,1,37,6.4,17,4,1,2,24,18,1,180,12.2,1372,19:19,51,102,325,327,49.8
861,Colin White\whiteco02,23,OTT,C,61,7,16,23,-12,39,1.0,6,1,0,0,13,3,0,83,8.4,958,15:42,30,47,275,305,47.4
862,Colton White\whiteco03,22,NJD,D,6,0,0,0,-2,4,-0.1,0,0,0,0,0,0,0,2,0.0,84,13:59,4,3,0,0,
863,Zach Whitecloud\whiteza01,23,VEG,D,16,0,1,1,3,4,0.5,0,0,0,0,1,0,0,9,0.0,229,14:19,16,10,0,0,
864,Justin Williams\williju01,38,CAR,RW,20,8,3,11,2,6,1.5,6,2,0,2,2,1,0,60,13.3,272,13:37,7,20,3,7,30.0
